zipcode,r_a,e_a,p_t_a,p_u_a,high_demand,n_t_a,n_u_a,is_desert,is_under5_desert
12941,0.384160756501182,65769.23076923077,1616.8,742,False,16.0,0.0,True,True
12942,0.6976744186046512,86805.55555555556,0.0,0,True,30.0,30.0,False,False
12943,0.7,63095.23809523809,116.0,15,True,8.0,0.0,True,True
12944,0.4708001029071263,56284.15300546448,0.0,0,True,18.0,18.0,False,False
12945,0.6439393939393939,65808.82352941176,64.0,25,True,0.0,0.0,True,True
12946,0.5655634687892752,69768.51851851851,239.4,129,False,201.0,24.0,False,True
12950,0.5688622754491018,54276.31578947368,281.4,174,True,32.0,0.0,True,True
12952,0.9056603773584906,52604.16666666666,67.8,19,True,0.0,0.0,True,True
12953,0.3662838699992494,58555.32786885247,176.39999999999998,31,True,343.0,163.0,False,False
12955,0.5217391304347826,59027.777777777774,242.8,105,True,0.0,0.0,True,True
12956,0.4326923076923077,56018.518518518526,0.0,0,True,20.0,20.0,False,False
12957,0.4250151791135397,51071.428571428565,244.6,91,True,0.0,0.0,True,True
12958,0.4975396391470749,58379.120879120885,51.8,0,True,16.0,0.0,True,False
12959,0.3831891223733004,54838.70967741936,217.4,66,True,8.0,0.0,True,True
12960,0.6,60648.14814814815,9.8,0,True,16.0,0.0,False,False
12962,0.5385072262918233,71737.13235294117,0.0,0,False,106.0,0.0,False,False
12965,0.8823529411764706,53645.83333333333,22.0,0,True,0.0,0.0,True,False
12966,0.3870558375634518,56045.08196721312,0.0,0,True,0.0,0.0,True,False
12967,0.3833605220228385,56382.97872340425,61.4,44,True,0.0,0.0,True,True
12969,0.821917808219178,61805.55555555556,340.2,57,True,0.0,0.0,True,True
12970,0.1814300960512273,61764.705882352944,159.2,10,False,0.0,0.0,True,True
12972,0.4525464604908498,69670.84639498433,62.599999999999994,0,False,88.0,0.0,False,False
12974,0.3310613437195716,55514.70588235294,4.0,4,True,54.0,0.0,False,True
12978,0.703125,52777.777777777774,404.6,247,True,0.0,0.0,True,True
12979,0.4696132596685083,63025.21008403361,11.8,6,False,0.0,0.0,True,True
12980,0.5008944543828264,52455.357142857145,1832.8,687,True,0.0,0.0,True,True
12981,0.4714226115978306,64823.00884955751,590.8,252,False,134.0,0.0,True,True
12983,0.4716466739367502,66835.26011560694,498.79999999999995,80,False,201.0,90.0,False,False
12985,0.5245901639344263,55468.75,21.2,3,True,40.0,0.0,False,True
12986,0.4742345033607169,61368.11023622048,13.799999999999999,0,False,128.0,56.0,False,False
12987,0.7236842105263158,55681.81818181818,14.8,6,True,0.0,0.0,True,True
12989,0.4639175257731959,70277.77777777778,185.2,42,False,0.0,0.0,True,True
12992,0.6359300476947536,60052.083333333336,96.8,19,True,16.0,0.0,True,True
12993,0.4895960832313341,67500.0,81.8,0,False,92.0,40.0,False,False
12996,0.4689863842662632,58870.967741935485,37.0,37,True,35.0,35.0,False,False
12997,0.4930156121610518,64583.333333333336,42.6,27,False,0.0,0.0,True,True
12998,0.8503401360544217,47000.0,26.0,26,True,0.0,0.0,True,True
13021,0.4811370882040383,61257.59249033683,25.0,0,False,1573.0,754.0,False,False
13026,0.3626943005181347,68849.20634920635,1944.4,720,False,0.0,0.0,True,True
13027,0.498137277037706,77457.50708215298,284.8,143,False,859.0,288.0,False,False
13028,0.7169344870210136,62068.96551724138,203.39999999999998,48,True,0.0,0.0,True,True
13029,0.4696623508504696,75979.72972972973,75.2,47,False,76.0,0.0,False,True
13030,0.4915169660678642,65926.39593908629,73.0,0,False,16.0,0.0,True,False
13031,0.5577790483450861,77377.56264236901,477.4,219,False,286.0,132.0,False,True
13032,0.4603937374050534,61531.98653198653,224.2,31,False,222.0,101.0,False,False
13033,0.4807429664026222,64630.681818181816,0.0,0,False,195.0,25.0,False,False
13034,0.410484668644906,71536.14457831325,176.8,79,False,0.0,0.0,True,True
13035,0.464841906559698,87944.16243654823,0.0,0,False,236.0,146.0,False,False
13036,0.4800443458980044,64145.49653579677,264.8,0,False,238.0,0.0,False,False
13037,0.4674733684972593,71349.5575221239,6.6,0,False,163.0,33.0,False,False
13039,0.5459989432278518,78051.07526881719,0.0,0,False,627.0,355.0,False,False
13040,0.4580152671755725,56354.16666666667,288.2,66,True,0.0,0.0,True,True
13041,0.499075785582255,78051.3468013468,369.0,142,False,302.0,168.0,False,False
13042,0.5268389662027833,64504.71698113207,552.6,233,False,0.0,0.0,True,True
13044,0.4064771976206213,65650.40650406505,125.2,13,False,79.0,0.0,False,True
13045,0.4009660120041197,60163.86182462357,3.5999999999999996,0,False,944.0,532.0,False,False
13052,0.476460578559274,61011.90476190476,2200.4,793,False,0.0,0.0,True,True
13053,0.4451982192071231,68630.95238095237,1346.6,526,False,186.0,170.0,True,True
13054,0.5582922824302134,60110.29411764706,3383.6,1230,False,74.0,0.0,True,True
13057,0.5408611905925047,65096.7741935484,4.0,4,False,655.0,279.0,False,False
